Date,Open,High,Low,Close,Volume,Adjusted,compound,neg,neu,pos,Stock
2006-12-01,3.278571,3.2975,3.217857,3.261429,795079600,2.804513,0.7707,0.032,0.905,0.063,AAPL
2006-12-04,3.281429,3.2875,3.232143,3.254286,709536800,2.798369,0.872,0.011,0.904,0.085,AAPL
2006-12-05,3.273214,3.2975,3.245357,3.259643,662838400,2.802977,0,0,0,0,AAPL
2006-12-06,3.237143,3.263929,3.2025,3.208214,638184400,2.758752,0.6858,0.029,0.878,0.093,AAPL
2006-12-07,3.215357,3.232143,3.103571,3.108571,1004827600,2.673069,-0.6712,0.091,0.869,0.04,AAPL
2006-12-08,3.115357,3.1925,3.107143,3.152143,784277200,2.710537,-0.1796,0.084,0.848,0.069,AAPL
2006-12-11,3.175,3.189286,3.144643,3.169643,499780400,2.725585,-0.8743,0.105,0.852,0.042,AAPL
2006-12-12,3.164643,3.172857,3.054643,3.076429,1026620000,2.645429,0,0,0,0,AAPL
2006-12-13,3.141071,3.181071,3.1125,3.180357,857052000,2.734797,0.936,0.018,0.9,0.082,AAPL
2006-12-14,3.180357,3.214286,3.152143,3.1625,832330800,2.719442,0.962,0.026,0.88,0.094,AAPL
2006-12-15,3.179286,3.186429,3.118929,3.132857,739939200,2.693953,-0.5228,0.051,0.905,0.044,AAPL
2006-12-18,3.129643,3.142857,3.021071,3.0525,721576800,2.624853,0.7059,0.03,0.887,0.082,AAPL
2006-12-19,3.026071,3.095714,2.986429,3.0825,911405600,2.650651,-0.6705,0.132,0.78,0.088,AAPL
2006-12-20,3.088214,3.095357,3.026429,3.027143,567691600,2.603049,-0.802,0.131,0.781,0.088,AAPL
2006-12-21,3.025,3.052857,2.935714,2.960714,903599200,2.545927,0,0,0,0,AAPL
2006-12-22,2.980714,3.001429,2.914286,2.935714,613303600,2.524428,0.7269,0.011,0.942,0.047,AAPL
2006-12-26,2.933929,2.948929,2.888929,2.911071,490688800,2.503238,-0.7685,0.07,0.885,0.045,AAPL
2006-12-27,2.791071,2.928571,2.741786,2.911429,1935754800,2.503546,0.9488,0.054,0.845,0.101,AAPL
2006-12-28,2.865,2.901786,2.844643,2.888214,1119876800,2.483584,0.8636,0.076,0.814,0.11,AAPL
2006-12-29,2.998214,3.05,2.977143,3.03,1076429200,2.605506,0.8914,0.07,0.802,0.128,AAPL
